target,description
położnictwo,położnictwo dziedzina medycyny zajmująca fizjologicznym okresem ciąży porodem połogiem studenci kierunku zdobywają wiedzę zakresie nauk medycznych szczególności medycyny prenatalnej neonatologii ginekologii pielęgniarstwa poznają rodzaje świadczeń zdrowotnych stosowanych wobec kobiety rodziny kobiety ciężarnej rodzącej położnicy noworodka uczą zagadnień dotyczących promocji zdrowia profilaktyki profesjonalnej opieki położniczo ginekologicznej przedkoncepcyjnej prenatalnej okresie przekwitania zdobywają umiejętność rozpoznawania monitorowania ciąży prawidłowej samodzielnego przyjęcia porodu siłami natury wykrywania stanów odbiegających normy matki dziecka okresie ciąży porodu połogu dowiadują działania ratownicze podejmować nagłych sytuacjach zagrożenia zdrowia życia studia położnictwie dwustopniowe realizują uczelnie medyczne wydziały medyczne uniwersytetów uczelnie zawodowe niepubliczne szkoły wyższe położnictwo studia osób pasją powołaniem programie studiów położnictwie obowiązują przedmioty biochemia biofizyka embriologia anatomia podstawy opieki położniczej organizacja pracy położnej techniki położnicze prowadzenie porodu badania fizykalne prawo medyczne choroby wewnętrzne pediatria pielęgniarstwo pediatryczne ginekologia pielęgniarstwo ginekologiczne pielęgniarstwo neonatologiczne
położnictwo pomostowe,położnictwo dziedzina medycyny zajmująca fizjologicznym okresem ciąży porodem połogiem studenci kierunku zdobywają wiedzę zakresie nauk medycznych szczególności medycyny prenatalnej neonatologii ginekologii pielęgniarstwa poznają rodzaje świadczeń zdrowotnych stosowanych wobec kobiety rodziny kobiety ciężarnej rodzącej położnicy noworodka uczą zagadnień dotyczących promocji zdrowia profilaktyki profesjonalnej opieki położniczo ginekologicznej przedkoncepcyjnej prenatalnej okresie przekwitania zdobywają umiejętność rozpoznawania monitorowania ciąży prawidłowej samodzielnego przyjęcia porodu siłami natury wykrywania stanów odbiegających normy matki dziecka okresie ciąży porodu połogu dowiadują działania ratownicze podejmować nagłych sytuacjach zagrożenia zdrowia życia pomostowe studia kierunku położnictwo przeznaczone absolwentów medycznych szkół zawodowych kształcących zawodzie położnej wybrane przedmioty programie studiów fizjologia biochemia biofizyka podstawy opieki położniczej techniki położnicze prowadzenie porodu promocja zdrowia ginekologia opieka ginekologiczna neonatologia opieka neonatologiczna dietetyka pediatria pielęgniarstwo pediatryczne
produkty farmaceutyczne i kosmetyczne,kierunek produkty farmaceutyczne kosmetyczne realizowany poziomie drugiego stopnia studenci poznają zagadnienia związane kontrolą jakości produktu rozwijaniem systemu zapewnienia jakości prowadzeniem dystrybucji produktów nadzorowaniem systemu dystrybucji prowadzeniem audytów kontroli sporządzaniem dokumentacji produktu procesie dopuszczania obrotu badaniami klinicznymi produktów leczniczych wyrobów medycznych monitorowaniem bezpieczeństwa produktów leczniczych wprowadzeniu obrotu prowadzeniem badań naukowych rozwojem nowych produktów metod analizy wyboru moduły specjalizacyjne kierunek odpowiedni osób chcą związać swoją przyszłość przemysłem farmaceutycznym kosmetycznym zainteresowane takimi zagadnieniami badania kliniczne rejestracja leków bezpieczeństwo farmakoterapii kontrola jakości dopuszczenie obrotu dystrybucja marketing kierunek szczegółowe informacje temat przedmiotów realizowanych toku studiów dostępne stronie uczelni
projektowanie i wytwarzanie kosmetyków,projektowanie wytwarzanie kosmetyków kierunek praktyczny przekazujący wiedzę zakresu tworzenia własnych linii kosmetycznych studenci uzyskują wiedzę umiejętności projektowania produktów kosmetycznych chemii gospodarczej dwóch zdań kierunek osób zainteresowanych przemysłem kosmetycznym posiadających żyłkę studenci kierunku uczą surowców produkcji kosmetyków receptur kosmetyków wytwarzania produktów kosmetycznych chemii gospodarczej jakości produktów kosmetycznych zarządzania jakością zasad zrównoważonego rozwoju przemyśle kosmetycznym rzeczywistej oceny oddziaływania kosmetyków organizm człowieka
protetyka słuchu,kierunek protetyka słuchu studia interdyscyplinarne mające celu poszerzyć wiedzę umiejętności przyszłego absolwenta wykonywania zadań zawodowych związanych przeprowadzaniem kompleksowych badań słuchu diagnozowaniem ubytków słuchu pacjenta dopasowywaniem aparatów słuchowych dokonywaniem podstawowych napraw wymian elementów aparatów słuchowych sprawowaniem opieki pacjentami aparatami słuchowymi trakcie studiów kierunku protetyka słuchu student zdobędzie wiedzę zakresu medycyny biofizyki akustyki statystyki elektroniki elektrotechniki wraz elementami nauk społecznych samodzielnego przeprowadzania badań diagnostycznych nauczy dobierać dopasowywać aparaty implanty słuchowe uzyska doświadczenia zakresie sprawowania opieki pacjentami student kierunku cechować cierpliwości dokładnością niezbędna przyszłej pracy komunikatywność chęć pomocy drugiemu człowiekowi wybrane przedmioty programie studiów anatomia głowy szyi układu słuchowego psychoakustyka audiometria mowy kliniczne dopasowanie aparatu słuchowego audiometria tonalna biomateriały protetyce słuchu fizjologia patofizjologia procesu komunikatywnego metody współczesnej otoplastyki budowa miernictwo aparatów słuchowych podstawy diagnostyki terapii szumów usznych badania elektrofizjologiczne zaburzeniach słuchu pozaotolaryngologiczne uwarunkowania zaburzeń słuchu biofizyka medyczna dobór dopasowanie aparatu słuchowego elementy audiologii geriatrycznej język migowy neurofizjologia topodiagnostyka układu słuchowego podstawy audiologii pediatrycznej wieku szkolnego rehabilitacja słuchowa osób słabo widzących niewidomych przetwarzanie sygnału akustycznego aparacie słuchowym skryning słuchowy zaburzenia słuchu leczeniu onkologicznym radioterapia implanty układu słuchowego
przemysł farmaceutyczny i kosmetyczny,studia kierunku przemysł farmaceutyczny kosmetyczny charakter praktyczny studenci toku studiów poszerzają zdobytą wcześniej wiedzę ukierunkowaniem zagadnienia dotyczące wytwarzania przemysłowego leków kosmetyków kontroli jakości dopuszczania obrotu dystrybucji marketingu poznają podstawy nauk farmaceutycznych zakresie działania leku organizm służyć rozwijaniu umiejętności podejmowania prawidłowych decyzji wpływających bezpieczeństwo produktów studia dualne łączące teorię praktyką celu rozszerzenie pogłębienie współpracy nauki biznesem studia ii stopnia prowadzone trybie stacjonarnym studia kierunku propozycja absolwentów programie studiów znajdziemy przedmioty analiza leków farmakologia toksykologia surowce naturalne technologia kosmetyków prawodawstwo badania przedrejestracyjne transfer technologii mikrobiologia toksykologia przemysłowa technologia formulacyjna farmakokinetyka biofarmacja biotechnologia marketing zarządzanie dobra praktyka wytwarzania dystrybucji inżynieria procesowa biofarmaceutyki
psychologia medyczna,psychologia medyczna dziedzina wyłoniona psychologii klinicznej medycyny założeniem stosowanie psychologii medycynie studia przybliżają zagadnienia związane oddziaływaniem czynników biologicznych psychologicznych społecznych zdrowie psychologia medyczna oferuje istotne wsparcie skutecznym leczeniu wychodząc założenia człowiek jednością psychosomatyczną pomaga uzyskaniu dobrego kontaktu człowieka chorego rodziną lekarzami pielęgniarkami terapeutami wspomaga osoby chore potrzebujące takich czynników leczących wiara nadzieja przekonania wyzdrowieć absolwent uzyskuje kompetencje umiejętności niezbędne prowadzenia terapii chorym rodziną wiedzę równowaga pomiędzy czterema wymiarami istnienia psychologicznym fizycznym społecznym duchowym ważna zdrowia zarówno psychicznego fizycznego studia swym zakresem obejmują przedmioty różnych dziedzin psychologii technik terapeutycznych stawiania diagnozy psychologicznej tę wiedzę zdobywa student ramach przedmiotów podstawowych kierunkowych kierunek psychologia medyczna polecany osobom chcą pomagać wspierać ludzi kandydat studia cechować kształcenie kierunku psychologia medyczna obejmuje zagadnienia zakresu psychologii technik terapeytycznych medycyny komunikacji biologii nauk zdrowiu
psychologia zdrowia,celem kształcenia kierunku psychologia zdrowia przygotowanie absolwentów pracy obszarze zdrowia człowieka absolwenci nabędą wiedzę umiejętności kompetencje obszaru psychologii medycyny dyscyplin takich neuropsychologia psychoonkologia itp ukończenie jednolitych studiów magisterskich kierunku psychologia zdrowia wyposaży absolwenta wiedzę pozwoli opisywanie wyjaśnianie zachowań ludzkich kontekście zdrowia choroby udzielanie odpowiedniej danego przypadku pomocy absolwent kierunku psychologia zdrowia potrafił odpowiednio dobierać posługiwać narzędziami pozwolą umiejętne diagnozowanie stosowanie różnych technik pomocy psychologicznej efektywną współpracę zespole interdyscyplinarnym dobra pacjenta dysponował odpowiednią wiedzą obszaru metodologii badań psychologicznych rzetelnego prowadzenia badań naukowych duży nacisk położony zostanie znaczenie rozwoju ciągu całego życia empatii otwartości drugiego człowieka autentyczności podstawy nawiązania kontaktu przykładowe ścieżki kształcenia kierunek psychologia zdrowa realizowany formie jednolitych pięcioletnich studiów magisterskich studia osób chcą zajmować promocją profilaktyką zdrowa wykonywać zawód psychologa wpływać poprawę jakości życia przykładowe przedmioty realizowane psychologii zdrowia biologiczne mechanizmy zachowania psychologia ogólna trening interpersonalny psychologia rozwoju człowieka etyka zawodu psychologa psychologia różnic indywidualnych psychometria teoria osobowości diagnoza psychologiczna dorosłych
ratownictwo medyczne,ratownictwo medyczne kierunek obejmuje wiedzę ogólną zakresu nauk społecznych wiedzę specjalistyczną umiejętności zakresu nauk medycznych szczególności medycznych czynności ratunkowych wykonywanych stanach nagłego zagrożenia zdrowotnego dorosłych dzieci studenci przygotowywani samodzielnego wykonywania takich czynności ratunkowych ocena stanu pacjenta celu ustalenia postępowania układanie pacjenta pozycji właściwej rodzaju schorzenia odniesionych obrażeń prowadzenie resuscytacji uczą przywracania drożności dróg oddechowych zastosowaniem rurki rurki intubacji podawania tlenu ukończeniu studiów absolwenci potrafią wykonywać ekg podawać leki drogą dożylną podskórną domięśniową dotchawiczą doszpikową cewnikować pobierać krew oznaczać glukozę opatrywać rany perspektywy pracy ukończeniu kierunku studiów ratownicy medyczni perfekcjoniści pracy czasu wahanie wybrane przedmioty programie kształcenia biochemia biologia medyczna mikrobiologia immunologia anatomia prawidłowa radiologia farmakologia medycyna sądowa pierwsza pomoc kwalifikowana pierwsza pomoc medycyna ratunkowa ortopedia traumatologia narządu ruchu toksykologia położnictwo ginekologia intensywna terapia kardiologia elementami ekg medyczne czynności ratunkowe medycyna katastrof ratownictwo specjalistyczne
techniki dentystyczne,techniki dentystyczne połączenie nauk medycznych podstawami nauk społecznych zarządzania studenci zdobywają wiedzę zakresu anatomii fizjologii organizmu ludzkiego wykonywania uzupełnień protetycznych technologii wykonywania protez szyn obturatorów ektoprotez stosowanych rehabilitacji leczenia profilaktyki chorób wad narządu żucia poznają budowę urządzeń profilaktyki rehabilitacji układu stomatologicznego uczą rozpoznawać sytuacje zagrażające zdrowiu życiu człowieka podejmować działania ratunkowe udzielać pierwszej pomocy przedlekarskiej sytuacjach nagłych oceniać stan zdrowia dzięki studiom zdobywają umiejętność organizacji pracy pracowniach stosować zasady bezpieczeństwa pracy stanowiskach pracy pracowniach wyposażonych linie technologiczne specjalności oferowane kierunku techniki dentystyczne każde studia medyczne techniki dentystyczne wymagają kandydatów odpowiedniego nastawienia drugiego człowieka cierpliwości uważności konieczne zainteresowanie uzdolnienie stronę przedmiotów ścisłych zwłaszcza biologii niezbędne wysokie zdolności manualne wyobraźnia przestrzenna bać stomatologa studenci uczą wykonywać prace związane świadczeniem usług zakresu technik dentystycznych protezy stałe protezy ruchome aparaty ortodontyczne naprawy uzupełnień protetycznych aparatów ortodontycznych
technologia biomedyczna,technologia biomedyczna kierunek międzyuczelniany prowadzony sggw współpracy wydziałem chemii uniwersytetu warszawskiego łączy wiedzę różnych dyscyplin kształcenie obejmuje zagadnienia zakresu biologii człowieka poziomie makrostruktury projektowania rozwiązań technologicznych komercjalizacji medycyny programie studiów znajdują przedmioty hodowla komórek tkanek genetyka klasyczna molekularna podstawy nanobiotechnologii studenci poznają aspekty planowania doświadczeń zwierzętach zasady prowadzenia badań zgodnie dobrą praktyką laboratoryjną kandydat kierunek sprawny przedmiotach ścisłych mieć oporów moralnych podjęciem studiów integralną częścią zagadnienia doświadczeń zwierzętach programie studiów znalazły przedmioty chemia ogólna fizyka biofizyka biologia komórki histologia podstawy anatomii człowieka chemia organiczna genetyka klasyczna molekularna fizjologia zwierząt człowieka bioinformatyka mikrobiologia ogólna biochemia medycyna eksperymentalna nanomedycyna
telemedycyna i projekty w ochronie zdrowia,telemedycyna projekty ochronie zdrowia health care technology kierunek studiów odpowiada współczesne wyzwania zdalnego świadczenia usług medycznych punktu widzenia pacjenta telemedycyna oznacza wygodę łatwiejszy dostęp świadczeń oczekiwania długich kolejkach konieczności dojazdu wdrożone stosowane aplikacje wspomagające terapię diagnostykę schorzeń dermatologicznych kardiologicznych pulmonologicznych możliwy zdalny pomiar poziomu ciśnienia cukru temperatury zdalne wykrywanie tachykardii bradykardii częstoskurczu komorowego migotania trzepotania komór przedsionków monitorowanie pacjentów chorych astmę pochp wykorzystaniem aplikacji mobilnych zsynchronizowanych czujnikami inteligentnymi urządzeniami pomiaru parametrów dzięki zastosowaniu systemów pozwalających łączenie danych różnych rodzajów obrazowania ct mri videoendoscopy pacjent otrzymuje pełniejszy obraz diagnostyczny lepiej dobraną skuteczniejszą terapię telemedycyna znacznie realizowane internet konsultacje wystawianie innowacje dziedzinie zmieniają działania pacjentów lekarzy pielęgniarek fizjoterapeutów farmaceutów przedstawicieli instytucji finansowych ubezpieczeniowych specjalistów komunikacji społecznej rynku reklamy program kształcenia opracowany łączyć spojrzenie ekonomiczne prawne techniczne poruszaną problematykę studia kierowane osób posiadają wykształcenie związane biologią biotechnologią chemią ekonomią prawem administracją obszaru medycyny farmacji pielęgniarstwa fizjoterapii rehabilitacji planujących prowadzić działalność gospodarczą udziałem atrakcyjnej oferty usług zdalnych studia kierowane kadry zarządzającej administracyjnej podmiotów sektora ochrony zdrowia instytucji ubezpieczeniowych samorządowych zajmujących ochroną zdrowia osób prowadzących działalność obszarze związanym świadczeniem usług medycznych telemedycyna projekty ochronie zdrowia health care technology przygotuje przyszłych absolwentów podjęcia pracy różnych sektorach rynku usług ochrony zdrowia zdobyte trakcie studiów wiedza kompetencje umożliwiają założenie własnej działalności gospodarczej pełnienie funkcji menedżerskich zatrudnienie instytucjach ochrony zdrowia telemedycyna zwiększa dostępność bezpieczeństwo jakość usług medycznych pojawia wyzwań związanych nowymi technologiami metodami prowadzenia udziałem przedsięwzięć administracyjnych biznesowych wśród nieznane wcześniej projekty ochronie zdrowia przygotowanie interpretacji danych zapewnienie ochrony danych osobowych świadczenia pomocy warunkach braku bezpośredniego kontaktu klientem ważną konsekwencją wprowadzenia usług telemedycznych możliwość zapobiegania chorobom rozwojowi ograniczanie czasu kosztów leczenia propozycja osób chciałyby zająć zawodowo procesem oferowania usług medycznych wykorzystaniem nowych technologii lekarzy informatyków menadżerów osób zajmujących finansowaniem zarządzaniem obszarze ochrony zdrowia dzięki studiom masz możliwość poznania procesów zarządczych finansowych marketingowych charakterystycznych podmiotów obszaru ochrony zdrowia wykorzystują innowacyjne technologie komunikacji odległość zdobycia wiedzy współczesnych trendach telemedycznych uwzględnieniem ekonomiki uwarunkowań prawnych nabycia wiedzy umiejętności niezbędnych zarządzania projektami przedsięwzięciami biznesowymi udziałem nowych technologii ochronie zdrowia zdobycia wiedzy aspektach prawnych rozwiązań telemedycznych korzystania trakcie nauki nowoczesnych narzędzi technologii komunikacji odległość stosowane podmioty oferujące usługi telemedycyny rynku europejskim brania udziału zajęciach prowadzą nauczyciele akademiccy dwóch wydziałów uniwersytetu gdańskiego wydziału ekonomicznego wydziału prawa administracji praktycy gospodarczy branży podmiotów aktywnych rynku medycznym prezesi spółek medycznych dyrektorzy placówek ochrony zdrowia przedstawiciele jednostek samorządu terytorialnego możliwość wyboru zajęć dodatkowych języku angielskim pozwolą osiągnięcie wysokich kompetencji językowych
terapia zajęciowa z rehabilitacją,studia kierunku terapia zajęciowa rehabilitacją wymiar interdyscyplinarny łączą wymiar terapeutyczny wychowawczy nielicznych kierunków kraju akcentuje programie znaczenie rehabilitacji procesów poznawczych znaczenie adaptacji warunków życia powstałych powodu niepełnosprawności rehabilitacja społeczna studenci kształceni zgodnie standardami ustalonymi światową federację terapeutów zajęciowych wfot europejską sieć terapii zajęciowej szkolnictwie wyższym enothe absolwenci uzyskają kompetencje niezbędne prowadzenia procesu terapii zajęciowej zgodnie założeniami terapii skoncentrowanej osobie ang client centred practice ramach studiów realizowane specjalności absolwent wskazanej specjalności przygotowany diagnostyki funkcjonalnej wykorzystaniem metod dostosowanych odpowiedniego rozwoju osobniczego dzieci młodzieży programowania terapii zajęciowej zgodnie aktualna wiedzą postępem technicznym zakresie ochrony zdrowia absolwent potrafił absolwent posiadał absolwent wskazanej specjalności przygotowany diagnostyki funkcjonalnej wykorzystaniem metod dostosowanych odpowiedniego rozwoju osobniczego osób dorosłych pacjentów geriatrycznych programowania terapii zajęciowej zgodnie aktualną wiedzą postępem technicznym zakresie ochrony zdrowia absolwent potrafił absolwent posiadał wiedzę dotycząca wspierania profilaktyki procesach demencyjnych ukończeniu studiów staniesz przedstawicielem zawodów medycznych coraz częściej poszukiwane rynku pracy zarówno polsce granicą będziesz mógł prowadzić różne formy techniki terapii zajęciowej polegającej aktywizowaniu osób wykluczonych chorych niepełnosprawnych starszych zaniedbanych życiu społecznym przedmioty realizowane czasie studiów powiązane wyborem specjalności szczegółowy wykaz zagadnień należy sprawdzac stronie www uczelni
toksykologia z elementami kryminalistyki,toksykologia elementami kryminalistyki kierunek łączący zagadnienia nauk medycznych nauk zdrowiu studia przygotowują zawodu toksykologa studenci uzyskują wiedzę zakresu toksykologii doświadczalnej mechanistycznej opisowej analizy toksykologicznej toksykopatologii toksykologii klinicznej sądowej toksykologii przemysłowej toksykologii żywieniowej toksykologii środowiskowej ekotoksykologii toksykologii regulacyjnej uczą wykorzystywania technik instrumentalnych molekularnych analizie toksykologicznej studia realizowane poziomie drugiego stopnia kandydatami absolwenci studiów stopnia ii stopnia jednolitych studiów magisterskich obszarów takich nauki medyczne przyrodnicze ścisłe rolnicze techniczne wyższych szkół policji wojska program studiów obejmuje blok przedmiotów ogólnomedycznych kierunkowych
veterinary medicine,veterinary medicine weterynaria realizowana języku angielskim pierwszy etap studiów stanowi teoretyczne przygotowane dziedzinie nauk weterynaryjnych kolejne lata szkolenie praktyczne studia przygotowują zawodu lekarza weterynarii absolwenci uzyskują uprawnienia niezbędne otrzymania prawa wykonywania zawodu lekarza weterynarii nadawanego okręgowe izby lekarsko weterynaryjne ukończeniu cyklu studiów rozpocząć kształcenie specjalizacyjne zajęcia prowadzone formie wykładów ćwiczeń laboratoryjnych klinicznych stacjonarnych wyjazdowych kandydatów oczekuje wyjątkowej wrażliwości cierpliwości przyszłości pracować pacjentami powiedzą swoich dolegliwościach obawach wybór studiów wymaga ogromnej sympatii zwierząt umiejętności komunikowania wybrane przedmioty programie studiów animal anatomy biochemistry histology and embryology animal physiology veterinary microbiology pathophysiology veterinary pharmacology diseases of farm animals diseases of dogs and cats diseases of horses veterinary toxicology slaughter animals and meat hygiene andrology and artificial insemination
weterynaria,weterynaria kierunek elitarny choćby powodu oferuje jedynie uczelni całym kraju studia kształcą przyszłych lekarzy tą różnicą pacjenci przychodzą czterech nogach przylatują dziedzina nauki dotyczy chorób zwierzęcych leczenia profilaktyki higieny produktów pochodzenia zwierzęcego ochrony ludzi chorobami pochodzenia odzwierzęcego studia cieszą duża popularnością pozwalają łączyć pasję zwierząt nierzadko dobrymi zarobkami ukończeniu studiów absolwenci potrafią badać stan zdrowia zwierząt rozpoznawać zapobiegać zwalczać leczyć choroby zwierząt przygotowywani wykonywania zabiegów chirurgicznych wydawania opinii orzeczeń kierunek weterynaria realizowany formie jednolitych studiów magisterskich trwających przykładowe specjalizacje zakresu weterynarii trudno wyobrazić lekarza weterynarii lubi zwierząt boi doskonały niemal metafizyczny kontakt zwierzętami gwarancją właściwego diagnozowania komfortowej obu stron atmosferze wybrane przedmioty programie studiów weterynarii chemia biologia fizyka anatomia biochemia farmakologia patomorfologia chirurgia ogólna anestezjologia choroby owadów użytkowych diagnostyka kliniczna laboratoryjna immunologia żywienie zwierząt mikrobiologia fizjologia zwierząt anatomia porównawcza zwierząt biochemia weterynaria sądowa toksykologia choroby zwierząt gospodarskich anatomia zwierząt histologia embriologia
zarządzanie ryzykiem zdrowotnym,studia kierunku zarządzanie ryzykiem zdrowotnym odpowiedzią rosnące zapotrzebowanie specjalistyczną kadrę przygotowaną realizacji różnych zadań dziedzinie zdrowia publicznego mających celu wydłużenia życia polaków poprawę jakości zdrowia wyrównania dysproporcji dostępie usług medycznych studenci zdobywają umiejętności służące zwiększaniu świadomości społeczeństwa zakresie ryzyka zdrowotnego prowadzeniu działań profilaktycznych oceny wiodących trendów działań obszarze zdrowia publicznego promocji zdrowia podejmowanych sferze lokalnej krajowej student wybrać jedną proponowanych kierunku specjalności studia kierunku zarządzanie ryzykiem zdrowotnym adresowane osób pasjonują naukami przyrodniczymi biologią chemią fizyką interesują wpływem czynników środowiskowych stan zdrowia realizowany trakcie studiów program dostarczyć studentowi wiedzy zakresie stanu zdrowia populacji świata europy polski nierówności zdrowiu uwarunkowań wpływu czynników środowiskowych stan zdrowia populacji czynników ryzyka wynikających środowiska jakim człowiek życie wpływu czynników środowiskowych zachorowalnością choroby przewlekłe nowotworowe metod sposobów identyfikacji czynników ryzyka zdrowia działań krajowych międzynarodowych dotyczących podstaw prawnych zarządzania środowiskiem działań krajowych międzynarodowych dotyczących podstaw prawnych zarządzania ryzykiem zdrowotnym aspektów prawnych związanych systemem kontroli nadzoru ryzykiem narzędzi prawnych służących zarządzaniu ryzykiem zdrowotnym
zastosowanie fizyki w biologii i medycynie,studia kierunku zastosowanie fizyki biologii medycynie zadanie wyposażyć wiedzę zakresu zastosowania fizyki biologii medycynie przekazać kompetencje zakresu podstaw nauk ścisłych fizyki matematyki technologii informatycznych chemii biologii nauk medycznych studenci uzyskują wiedzę przydatną opracowywaniu metod detekcji różnych molekuł organizmach żywych odkrywaniu molekularnych podstaw chorób projektowaniu nowych leków terapii metod diagnostycznych poznają zasady zastosowania metod fizyki badaniach mózgu pogranicze informatyki biologii neurokognitywistyki sztucznej inteligencji psychologii medycyny fizyki matematyki studiach osoba ukończy kierunek posiadała umiejętność interdyscyplinarnego łączenia metod idei różnych wymienionych dziedzin obsługi aparatury badawczej proponowane specjalności kandydatów studia oczekuje predyspozycji nauki przedmiotów ścisłych otwartości nowoczesne rozwiązania technologiczne jednocześnie zamiłowania nauki przedmiotów przyrodniczych biologii chemii fizyki wybrane przedmioty programie kształcenia fizyka algebra geometrią podstawy chemii elementami biochemii wstęp biofizyki biologia komórki analizy sygnałów histologia programowanie pracownia sygnałów bioelektrycznych obrazowanie medyczne podstawy anatomii fizjologii człowieka termodynamika neurobiologia
zdrowie publiczne,zdrowie publiczne nauka zajmująca promowaniem zdrowia zdrowego stylu życia aktywności fizycznej przedłużaniem życia zdrowie publiczne kierunek poniekąd odpowiedzią starzenie społeczeństwa zapotrzebowanie specjalistyczne usługi opiekuńcze terapeutyczne rehabilitacyjne zdrowie publiczne wyjaśnia problematykę medyczną odkrywa tajniki niekonwencjonalnych metod terapii porusza zagadnienia zakresu promocji zdrowia kształci pracowników zajmujących opieką osobami trwale niezdolnymi samodzielnego funkcjonowania przewlekle chorymi studenci zdobywają wiedzę zakresu polityki zdrowotnej krajów unii europejskiej podstaw nauk społecznych psychologii zarządzania prawa ekonomii przykładowe specjalności oferowane kierunku zdrowie publiczne kierunek zdrowie publiczne dedykowany kandydatom zainteresowanym biologią człowiekiem wpływem środowiska zdrowie chcieliby poznać stosować nowoczesne metody badawcze związane oceną stanu środowiska wpływem człowieka programie studiów znajdują przedmioty anatomia historia rozwój zdrowia publicznego biochemia podstawy ekonomiki zdrowia psychologia współczesne problemy chorób infekcyjnych antropologia filozoficzna filozofia polityki organizacje pozarządowe ochronie zdrowia prawo ochrony zdrowia ochrona zdrowia polsce świecie edukacja zdrowotna epidemiologia patofizjologia podstawy ekologii człowieka toksykologia konstytucyjne systemy organów państwowych turystyka zdrowotna styl życia zdrowie monitoring stanu zdrowia populacji propedeutyką chorób dzieci międzynarodowe problemy zdrowia choroby zakaźne nadzór jakość opieki zdrowotnej patologie społeczne
zdrowie publiczne i epidemiologia,studia kierunku zdrowie publiczne epidemiologia odpowiedzią potrzeby runku pracy celu wykształcić specjalistów zakresu szeroko rozumianego zdrowia publicznego epidemiologii trwająca pandemia dużym stopniu uwypukliła tacy specjaliści rynku ochrony zdrowia niezbędni zadanie tyle trudne wymaga interdyscyplinarnego podejścia posługiwania językiem obszarów głównym celem nauczania kierunku nabycie studentów wiedzy umiejętności kompetencji podjęcia pracy stanowiskach wykonawczych instytucjach realizujących cele zadania zdrowia publicznego dzięki studiom środowisko medyczne pozyska profesjonalną kadrę posiada wiedzę umiejętności kompetencje umożliwią inicjowanie planowanie wdrażanie działań obszarach życia społecznego szczeblach funkcjonowania systemu ochrony zdrowia celu poprawę stanu zdrowia populacji zwiększenie efektywności podejmowanych decyzji dotyczących zdrowia program studiów zdrowia publicznego epidemiologii podzielić bloków tematycznych pierwsze przedmioty związane zarządzaniem organizowaniem systemu ochrony zdrowia np ekonomika zdrowia ekonomia finansowanie ochrony zdrowia jakość ochronie zdrowia zarządzanie podmiotem leczniczym drugie obszar położony zostanie szczególny nacisk zakres zagadnień związany oceną sytuacji zdrowotnej wiodącym przedmiotem obszarze epidemiologia epidemiologia opisowa epidemiologia analityczna epidemiologia kliniczna monitoring sytuacji zdrowotnej nadzór kolejnym obszarem przedmioty wyposażyć absolwentów kompetencje dotyczące planowania wdrażania zdrowia publicznego np promocja zdrowia profilaktyka chorób edukacja zdrowotna polityka zdrowotna programie kształcenia zabraknie takich przedmiotów anatomia patofizjologia biochemia biofizyka ponadto kierunku pojawią zagadnienia dzięki absolwenci nabędą kompetencje tzw miękkie np negocjacje zarządzanie projektami komunikacja zdrowiu zarządzanie kryzysowe planie studiów przewidziano godzin praktyk zawodowych studenci mogli odbyć podmiotach wyznaczonych umb uniwersytecki szpital kliniczny białymstoku dziecięcy szpital kliniczny białymstoku wojewódzka stacja istnieje możliwość realizacji własnych pomysłów postaci praktyk krajowych zagranicznych sektorze niepublicznym absolwent studiów pierwszego stopnia licencjackich kierunku zdrowie publiczne epidemiologia kontynuować naukę studiach drugiego stopnia magisterskich zarówno trybie stacjonarnym niestacjonarnym kierunku zdrowie publiczne studiach podyplomowych idealny kandydat kierunek zdrowie publiczne epidemiologia osoba zdolnościach analitycznych pełna inicjatywy otwarta empatyczna programie zajęć przewidziano zagadnienia epidemiologia opisowa epidemiologia analityczna epidemiologia kliniczna monitoring sytuacji zdrowotnej nadzór promocja zdrowia profilaktyka chorób edukacja zdrowotna polityka zdrowotna ekonomika zdrowia ekonomia finansowanie ochrony zdrowia jakość ochronie zdrowia zarządzanie podmiotem leczniczym anatomia patofizjologia biochemia biofizyka
zdrowie środowiskowe,studia kierunku zdrowie środowiskowe dostarczają interdyscyplinarnej wiedzy zakresu nauk medycznych propedeutyka medycyny toksykologia epidemiologia nauk przyrodniczych biochemia ekologia mikrobiologia fizyka chemia środowiska studenci zapoznają zagadnieniami zakresu prawa podstawy prawa prawo ochrony środowiska ochrony pracy zarządzania zarządzanie instrumenty zarządzania środowiskiem bhp zdobywają umiejętności dotyczące wykorzystywania specjalistycznego oprogramowania celu modelowania rozprzestrzeniania zanieczyszczeń tj hałasu gazów pyłów dużą wagę przewiązuję zajęć praktycznych laboratoryjnych służą poznaniu specyfiki zawodu studia stopnia prowadzone trybie stacjonarnym studia kierunku adresowane osób interesujących naukami przyrodniczymi głownie biologią chemią zagadnieniami związanymi ekologia ochroną środowiska programie studiów znajdziemy przedmioty ekologia podstawy mikrobiologii podstawy biochemii toksykologii chemia fizyka środowiska toksykologia środowiska obliczeniowe propedeutyka medycyny elementami zdrowia warunkach pracy logika podstawy prawa prawo ochrony środowiska ochrony pracy historia medycyny prawo ochrony zdrowia
